Timestamp,Do you consent to participating in this research project?,Please provide your course specific ID.,What lecture section are you in?,What gender do you identify as?,What is your major?,Are you an international or domestic student?,How far from campus do you live?,How many extracurricular activities do you participate in at UTM?,What types of extra-curricular activities do you participate in?,How much time do you participate in these extra-curricular activities per week?,What days of the week do you participate in extra-curricular activities?,How would you rate your commitment/involvement in these extracurricular activities on a scale from 0-10? ,Column 14
10/16/2024 4:54:25,Yes - Please continue with the survey.,AdditiveModel996,LEC0101 (Friday 11-2),Female,"Statistics, Mathematics",Domestic,21+km,0,No Extra-Curricular Activities,N/A (No Extracurriculars),,0,
10/8/2024 16:38:34,Yes - Please continue with the survey.,BachelorPlus364,LEC0102 (Thursday 11-2),Male,"Statistics, Economics",International,11-15km,1,Athletics & Sports,0-3 hours,"Thursday, Friday",7,
10/1/2024 2:35:49,Yes - Please continue with the survey.,Badminton,LEC0101 (Friday 11-2),Female,Not listed above,International,0-5km,1,Athletics & Sports,0-3 hours,"Monday, Wednesday, Thursday",7,
9/30/2024 21:52:03,Yes - Please continue with the survey.,basketball,LEC0101 (Friday 11-2),Male,"Statistics, Mathematics",International,On Campus,0,No Extra-Curricular Activities,N/A (No Extracurriculars),,0,
10/11/2024 23:11:18,Yes - Please continue with the survey.,Biostatistics197,LEC0102 (Thursday 11-2),Male,"Statistics, Not listed above",Domestic,0-5km,1,Athletics & Sports,0-3 hours,Thursday,6,
10/9/2024 23:42:45,Yes - Please continue with the survey.,Boohbahs138,LEC0101 (Friday 11-2),Male,"Statistics, Economics",International,6-10km,2,Athletics & Sports,9-12 hours,"Saturday, Sunday",8,
10/10/2024 3:25:05,Yes - Please continue with the survey.,ClubPenguinA,LEC0102 (Thursday 11-2),Male,Statistics,Domestic,0-5km,1,Athletics & Sports,0-3 hours,"Monday, Wednesday, Friday, Sunday",9,
10/7/2024 18:06:51,Yes - Please continue with the survey.,ClubPenguinK,LEC0102 (Thursday 11-2),Male,"Statistics, Computer Science",Domestic,16-20km,1,Athletics & Sports,0-3 hours,"Monday, Wednesday, Friday",7,
10/6/2024 19:45:21,Yes - Please continue with the survey.,ClubPenguinO,LEC0101 (Friday 11-2),Male,Statistics,Domestic,6-10km,4+,"Athletics & Sports, Academic Societies, Clubs, Leadership/Student Governments, Councils & Unions",9-12 hours,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",6,
10/10/2024 17:39:01,Yes - Please continue with the survey.,ClubPenguinP1,LEC0102 (Thursday 11-2),Male,Statistics,Domestic,11-15km,0,No Extra-Curricular Activities,N/A (No Extracurriculars),,1,
